ROW_ID,ICD10_CODE_CN,ICD10_CODE,TITLE_CN,TITLE
100,A06.500+,A06.5,阿米巴肺脓肿,Amoebic lung abscess
101,A06.501,A06.5,阿米巴性肺脓肿,Amoebic lung abscess
102,A06.501+,A06.5,阿米巴肝肺脓肿,Amoebic lung abscess
103,A06.502,A06.5,肺阿米巴病,Amoebic lung abscess
104,A06.600+,A06.6,阿米巴脑脓肿,Amoebic brain abscess
105,A06.700,A06.7,皮肤阿米巴病,Cutaneous amoebiasis
106,A06.701,A06.7,阿米巴性皮肤溃疡,Cutaneous amoebiasis
107,A06.800,A06.8,特指部位阿米巴感染,Amoebic infection of other sites
108,A06.801,A06.8,眼阿米巴病,Amoebic infection of other sites
109,A06.900,A06.9,阿米巴病,"Amoebiasis, unspecified"
110,A06.901,A06.9,阿米巴病,"Amoebiasis, unspecified"
111,A07.000,A07.0,小袋纤毛虫病,Balantidiasis
112,A07.001,A07.0,小袋虫病,Balantidiasis
113,A07.100,A07.1,贾第虫病,Giardiasis [lambliasis]
114,A07.101,A07.1,贾第虫病,Giardiasis [lambliasis]
115,A07.200,A07.2,隐孢子虫病,Cryptosporidiosis
116,A07.300,A07.3,等孢球虫病,Isosporiasis
117,A07.301,A07.3,等孢子球虫病(球虫病),Isosporiasis
118,A07.800,A07.8,特指原虫性肠道疾病,Other specified protozoal intestinal diseases
119,A07.801,A07.8,肠道滴虫病,Other specified protozoal intestinal diseases
120,A07.802,A07.8,肉孢子虫病,Other specified protozoal intestinal diseases
121,A07.900,A07.9,原虫性肠道疾病,"Protozoal intestinal disease, unspecified"
122,A08.000,A08.0,轮状病毒肠炎,Rotaviral enteritis
123,A08.001,A08.0,轮状病毒肠炎,Rotaviral enteritis
124,A08.100,A08.1,诺沃克组病毒引起急性胃肠病,Acute gastroenteropathy due to Norwalk agent
125,A08.101,A08.1,诺如病毒引起急性胃肠病,Acute gastroenteropathy due to Norwalk agent
126,A08.200,A08.2,腺病毒肠炎,Adenoviral enteritis
127,A08.201,A08.2,腺病毒肠炎,Adenoviral enteritis
128,A08.300,A08.3,特指病毒性肠炎,Other viral enteritis
129,A08.301,A08.3,EB病毒性肠炎,Other viral enteritis
130,A08.400,A08.4,肠道病毒感染,"Viral intestinal infection, unspecified"
131,A08.401,A08.4,病毒性肠炎,"Viral intestinal infection, unspecified"
132,A08.402,A08.4,病毒性胃肠炎,"Viral intestinal infection, unspecified"
133,A08.403,A08.4,肠道病毒感染,"Viral intestinal infection, unspecified"
134,A08.500,A08.5,特指肠道感染,Other specified intestinal infections
135,A09.000,A09.0,特指感染性胃肠炎和结肠炎,Other and unspecified gastroenteritis and colitis of infectious origin
136,A09.001,A09.0,感染性胃肠炎,Other and unspecified gastroenteritis and colitis of infectious origin
137,A09.002,A09.0,感染性结肠炎,Other and unspecified gastroenteritis and colitis of infectious origin
138,A09.003,A09.0,痢疾,Other and unspecified gastroenteritis and colitis of infectious origin
139,A09.004,A09.0,感染性腹泻,Other and unspecified gastroenteritis and colitis of infectious origin
140,A09.005,A09.0,脓毒性肠炎,Other and unspecified gastroenteritis and colitis of infectious origin
141,A09.006,A09.0,急性出血性肠炎,Other and unspecified gastroenteritis and colitis of infectious origin
142,A09.900,A09.9,胃肠炎和结肠炎,Gastroenteritis and colitis of unspecified origin
143,A09.901,A09.9,胃肠炎,Gastroenteritis and colitis of unspecified origin
144,A09.902,A09.9,结肠炎,Gastroenteritis and colitis of unspecified origin
145,A09.903,A09.9,婴儿腹泻,Gastroenteritis and colitis of unspecified origin
146,A09.904,A09.9,出血性肠炎,Gastroenteritis and colitis of unspecified origin
147,A09.905,A09.9,急性肠炎,Gastroenteritis and colitis of unspecified origin
148,A15.000,A15.0,肺结核，痰镜检（+）,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
149,A15.001,A15.0,肺结核瘤，痰镜检（+）,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
150,A15.002,A15.0,肺干酪性结核，痰镜检（+）,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
151,A15.003,A15.0,结核性肺纤维变性，痰镜检（+）,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
152,A15.004,A15.0,结核性肺炎，痰镜检（+）,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
153,A15.005,A15.0,结核性气胸，痰镜检（+）,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
154,A15.006,A15.0,结核性支气管扩张，痰镜检（+）,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
155,A15.007,A15.0,空洞型肺结核，痰镜检（+）,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
156,A15.008,A15.0,浸润型肺结核，痰镜检（+）,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
157,A15.009,A15.0,增殖型肺结核，痰镜检（+）,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
158,A15.100,A15.1,肺结核，痰培养（+）,"Tuberculosis of lung, confirmed by culture only"
159,A15.101,A15.1,肺结核瘤，痰培养（+）,"Tuberculosis of lung, confirmed by culture only"
160,A15.102,A15.1,肺干酪性结核，痰培养（+）,"Tuberculosis of lung, confirmed by culture only"
161,A15.103,A15.1,结核性肺纤维变性，痰培养（+）,"Tuberculosis of lung, confirmed by culture only"
162,A15.104,A15.1,结核性肺炎，痰培养（+）,"Tuberculosis of lung, confirmed by culture only"
163,A15.105,A15.1,结核性气胸，痰培养（+）,"Tuberculosis of lung, confirmed by culture only"
164,A15.106,A15.1,结核性支气管扩张，痰培养（+）,"Tuberculosis of lung, confirmed by culture only"
165,A15.107,A15.1,空洞型肺结核，痰培养（+）,"Tuberculosis of lung, confirmed by culture only"
166,A15.108,A15.1,浸润型肺结核，痰培养（+）,"Tuberculosis of lung, confirmed by culture only"
167,A15.109,A15.1,增殖型肺结核，痰培养（+）,"Tuberculosis of lung, confirmed by culture only"
168,A15.200,A15.2,肺结核，病理（+）,"Tuberculosis of lung, confirmed histologically"
169,A15.201,A15.2,肺结核瘤，病理（+）,"Tuberculosis of lung, confirmed histologically"
170,A15.202,A15.2,肺干酪性结核，病理（+）,"Tuberculosis of lung, confirmed histologically"
171,A15.203,A15.2,结核性肺纤维变性，病理（+）,"Tuberculosis of lung, confirmed histologically"
172,A15.204,A15.2,结核性肺炎，病理（+）,"Tuberculosis of lung, confirmed histologically"
173,A15.205,A15.2,结核性气胸，病理（+）,"Tuberculosis of lung, confirmed histologically"
174,A15.206,A15.2,结核性支气管扩张，病理（+）,"Tuberculosis of lung, confirmed histologically"
175,A15.207,A15.2,空洞型肺结核，病理（+）,"Tuberculosis of lung, confirmed histologically"
176,A15.208,A15.2,浸润型肺结核，病理（+）,"Tuberculosis of lung, confirmed histologically"
177,A15.209,A15.2,增殖型肺结核，病理（+）,"Tuberculosis of lung, confirmed histologically"
178,A15.300,A15.3,肺结核经证实（+）,"Tuberculosis of lung, confirmed by unspecified means"
179,A15.301,A15.3,肺结核瘤经证实（+）,"Tuberculosis of lung, confirmed by unspecified means"
180,A15.302,A15.3,肺干酪性结核经证实（+）,"Tuberculosis of lung, confirmed by unspecified means"
181,A15.303,A15.3,结核性肺纤维变性经证实（+）,"Tuberculosis of lung, confirmed by unspecified means"
182,A15.304,A15.3,结核性肺炎经证实（+）,"Tuberculosis of lung, confirmed by unspecified means"
183,A15.305,A15.3,结核性气胸经证实（+）,"Tuberculosis of lung, confirmed by unspecified means"
184,A15.306,A15.3,结核性支气管扩张经证实（+）,"Tuberculosis of lung, confirmed by unspecified means"
185,A15.307,A15.3,空洞型肺结核经证实（+）,"Tuberculosis of lung, confirmed by unspecified means"
186,A15.308,A15.3,浸润型肺结核经证实（+）,"Tuberculosis of lung, confirmed by unspecified means"
187,A15.309,A15.3,增殖型肺结核 经证实（+）,"Tuberculosis of lung, confirmed by unspecified means"
188,A15.400,A15.4,肺门淋巴结结核，细菌学（+）,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
189,A15.401,A15.4,肺门淋巴结结核，病理（+）,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
190,A15.402,A15.4,气管支气管淋巴结结核，细菌学（+）,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
191,A15.403,A15.4,气管支气管淋巴结结核，病理（+）,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
192,A15.404,A15.4,胸内淋巴结结核，细菌学（+）,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
193,A15.405,A15.4,胸内淋巴结结核，病理（+）,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
194,A15.406,A15.4,纵隔淋巴结结核，细菌学（+）,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
195,A15.407,A15.4,纵隔淋巴结结核，病理（+）,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
196,A15.408,A15.4,支气管淋巴结结核，细菌学（+）,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
197,A15.409,A15.4,支气管淋巴结结核，病理（+）,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
198,A15.500,A15.5,喉结核，细菌学（+）,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
199,A15.501,A15.5,喉结核，病理（+）,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
200,A15.502,A15.5,会厌结核，细菌学（+）,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
201,A15.503,A15.5,会厌结核，病理（+）,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
202,A15.504,A15.5,声带结核，细菌学（+）,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
203,A15.505,A15.5,声带结核，病理（+）,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
204,A15.506,A15.5,气管结核，细菌学（+）,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
205,A15.507,A15.5,气管结核，病理（+）,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
206,A15.508,A15.5,支气管结核，细菌学（+）,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
207,A15.509,A15.5,支气管结核，病理（+）,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
208,A15.600,A15.6,结核性胸膜炎，细菌学（+）,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
209,A15.601,A15.6,结核性胸膜炎，病理（+）,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
210,A15.602,A15.6,结核性脓胸，细菌学（+）,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
211,A15.603,A15.6,结核性脓胸，病理（+）,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
212,A15.604,A15.6,结核性胸腔积液，细菌学（+）,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
213,A15.605,A15.6,结核性胸腔积液，病理（+）,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
214,A15.606,A15.6,结核性渗出性胸膜炎，细菌学（+）,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
215,A15.607,A15.6,结核性渗出性胸膜炎，病理（+）,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
216,A15.608,A15.6,胸膜结核瘤，细菌学（+）,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
217,A15.609,A15.6,胸膜结核瘤，病理（+）,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
218,A15.700,A15.7,原发性呼吸道结核，细菌学（+）,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
219,A15.701,A15.7,原发性呼吸道结核，病理（+）,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
220,A15.702,A15.7,肺原发性结核性复征，细菌学（+）,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
221,A15.703,A15.7,肺原发性结核性复征，病理（+）,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
222,A15.800,A15.8,特指呼吸道结核，细菌学、病理（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
223,A15.801,A15.8,结核性鼻窦炎，细菌学（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
224,A15.802,A15.8,结核性鼻窦炎，病理（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
225,A15.803,A15.8,鼻中隔结核，细菌学（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
226,A15.804,A15.8,鼻中隔结核，病理（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
227,A15.805,A15.8,鼻咽结核，细菌学（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
228,A15.806,A15.8,鼻咽结核，病理（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
229,A15.807,A15.8,鼻结核，细菌学（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
230,A15.808,A15.8,鼻结核，病理（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
231,A15.809,A15.8,扁桃体结核，细菌学（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
232,A15.810,A15.8,扁桃体结核，病理（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
233,A15.811,A15.8,咽部结核，细菌学（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
234,A15.812,A15.8,咽部结核，病理（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
235,A15.813,A15.8,纵隔结核，细菌学（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
236,A15.814,A15.8,纵隔结核，病理（+）,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
237,A15.900,A15.9,呼吸道结核，细菌学（+）,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
238,A15.901,A15.9,呼吸道结核，病理（+）,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
239,A16.000,A16.0,肺结核，细菌学和组织学检查（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
240,A16.001,A16.0,肺结核瘤，痰镜检（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
241,A16.002,A16.0,结核性肺炎，痰镜检（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
242,A16.003,A16.0,结核性肺纤维变性，痰镜检（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
243,A16.004,A16.0,结核性气胸，痰镜检（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
244,A16.005,A16.0,结核性支气管扩张，痰镜检（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
245,A16.006,A16.0,肺干酪性结核，痰镜检（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
246,A16.007,A16.0,空洞型肺结核，痰镜检（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
247,A16.008,A16.0,浸润型肺结核，痰镜检（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
248,A16.009,A16.0,增殖型肺结核，痰镜检（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
249,A16.010,A16.0,肺结核，痰培养（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
250,A16.011,A16.0,肺结核瘤，痰培养（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
251,A16.012,A16.0,结核性肺炎，痰培养（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
252,A16.013,A16.0,结核性肺纤维变性，痰培养（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
253,A16.014,A16.0,结核性气胸，痰培养（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
254,A16.015,A16.0,结核性支气管扩张，痰培养（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
255,A16.016,A16.0,肺干酪性结核，痰培养（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
256,A16.017,A16.0,空洞型肺结核，痰培养（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
257,A16.018,A16.0,浸润型肺结核，痰培养（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
258,A16.019,A16.0,增殖型肺结核，痰培养（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
259,A16.020,A16.0,肺结核，病理（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
260,A16.021,A16.0,肺结核瘤，病理（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
261,A16.022,A16.0,结核性肺炎，病理（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
262,A16.023,A16.0,结核性肺纤维变性，病理（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
263,A16.024,A16.0,结核性气胸，病理（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
264,A16.025,A16.0,结核性支气管扩张，病理（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
265,A16.026,A16.0,肺干酪性结核，病理（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
266,A16.027,A16.0,空洞型肺结核，病理（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
267,A16.028,A16.0,浸润型肺结核，病理（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
268,A16.029,A16.0,增殖型肺结核，病理（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
269,A16.030,A16.0,肺结核瘤，细胞学（组织学）（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
270,A16.031,A16.0,结核性肺炎，细胞学（组织学）（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
271,A16.032,A16.0,结核性肺纤维变性，细胞学（组织学）（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
272,A16.033,A16.0,结核性气胸，细胞学（组织学）（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
273,A16.034,A16.0,结核性支气管扩张，细胞学（组织学）（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
274,A16.035,A16.0,肺干酪性结核，细胞学（组织学）（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
275,A16.036,A16.0,空洞型肺结核，细胞学（组织学）（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
276,A16.037,A16.0,浸润型肺结核，细胞学（组织学）（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
277,A16.038,A16.0,增殖型肺结核，细胞学（组织学）（-）,"Tuberculosis of lung, bacteriologically and histologically negative"
278,A16.100,A16.1,肺结核，未做细菌学和组织学检查,"Tuberculosis of lung, bacteriological and histological examination not done"
279,A16.101,A16.1,肺结核瘤，未做细菌学和组织学检查,"Tuberculosis of lung, bacteriological and histological examination not done"
280,A16.102,A16.1,结核性肺炎，未做细菌学和组织学检查,"Tuberculosis of lung, bacteriological and histological examination not done"
281,A16.103,A16.1,结核性肺纤维变性，未做细菌学和组织学检查,"Tuberculosis of lung, bacteriological and histological examination not done"
282,A16.104,A16.1,结核性气胸，未做细菌学和组织学检查,"Tuberculosis of lung, bacteriological and histological examination not done"
283,A16.105,A16.1,结核性支气管扩张，未做细菌学和组织学检查,"Tuberculosis of lung, bacteriological and histological examination not done"
284,A16.106,A16.1,肺干酪性结核，未做细菌学和组织学检查,"Tuberculosis of lung, bacteriological and histological examination not done"
285,A16.107,A16.1,空洞型肺结核，未做细菌学和组织学检查,"Tuberculosis of lung, bacteriological and histological examination not done"
286,A16.108,A16.1,浸润型肺结核，未做细菌学和组织学检查,"Tuberculosis of lung, bacteriological and histological examination not done"
287,A16.109,A16.1,增殖型肺结核，未做细菌学和组织学检查,"Tuberculosis of lung, bacteriological and histological examination not done"
288,A16.200,A16.2,肺结核,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
289,A16.201,A16.2,肺结核瘤,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
290,A16.202,A16.2,粟粒性肺结核,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
